,count,is_written_in_last_month,is_written_in_last_week,max_created_utc,referral_utc,sub_comment_index,time_since_last_post
355105,1,False,False,1421150106,1461513285,1699,40363179
355107,3,True,True,1462642972,1462725977,1701,83005
355114,23,True,True,1473043076,1473171863,1706,128787
355138,1,True,True,1476202279,1476209514,1710,7235
355139,3,False,False,1454727065,1457462976,1711,2735911
355147,3,True,True,1451252285,1451253808,1718,1523
355163,9,True,True,1457468464,1457544807,1734,76343
355180,11,True,True,1455635449,1455643049,1745,7600
355202,1,False,False,1466859083,1473417020,1759,6557937
355207,5,True,True,1476746679,1476761523,1764,14844
355225,11,False,False,1427679441,1469555102,1782,41875661
355236,27,True,False,1469468407,1470434278,1783,965871
355265,7,False,False,1435720117,1458103522,1788,22383405
355280,417,True,True,1451867868,1451899834,1798,31966
355700,937,True,True,1475586140,1475588285,1802,2145
356638,4,True,True,1449351586,1449361106,1804,9520
356650,3,True,False,1463119097,1464175631,1813,1056534
356665,1,True,True,1469062803,1469069348,1829,6545
356668,931,True,True,1475506706,1475513174,1832,6468
357599,40978,True,True,1452370378,1452371384,1835,1006
398580,29,True,True,1451652340,1451770316,1839,117976
398624,188,False,False,1452752262,1460776412,1858,8024150
398814,2,False,False,1455828516,1462318117,1861,6489601
398824,5,True,True,1451760336,1451797431,1871,37095
398831,3,True,False,1468799695,1469413620,1875,613925
398834,146,True,True,1481997264,1482224190,1876,226926
398985,830,True,True,1452358209,1452358317,1882,108
399818,5,True,False,1452121737,1453205434,1887,1083697
399827,2,True,False,1474063409,1475526325,1892,1462916
399829,54843,True,True,1461954340,1461955074,1893,734
454672,1,True,False,1451932623,1452610402,1894,677779
454684,1,True,True,1475084937,1475085684,1907,747
454690,39,True,False,1458704547,1459612812,1913,908265
454734,2,False,False,1445268047,1451946483,1919,6678436
454742,2,False,False,1429296813,1469917718,1927,40620905
454744,2,False,False,1468177630,1478024265,1928,9846635
454752,1,True,True,1466301148,1466356855,1935,55707
454761,1,False,False,1469020060,1474426619,1946,5406559
454770,2,True,False,1481254228,1482730385,1955,1476157
454777,1,True,False,1451021115,1452374737,1962,1353622
454778,88,True,True,1473607607,1473655096,1963,47489
454867,16,True,True,1453708816,1454087079,1965,378263
454884,12,True,True,1471744816,1472086904,1967,342088
454900,321,True,True,1480399460,1480445393,1973,45933
455226,1,True,False,1451951369,1453133976,1980,1182607
455229,3,True,True,1457036158,1457037686,1983,1528
455236,2,False,False,1463056445,1473269127,1988,10212682
455250,5,True,True,1466487803,1466642062,2003,154259
455255,1,False,False,1421150106,1461264611,2004,40114505
455257,19,True,True,1473894073,1473935241,2007,41168
455283,20,False,False,1455713858,1463584515,2016,7870657
455309,2,True,True,1452962582,1453165418,2023,202836
455319,88,True,True,1473607607,1473654805,2034,47198
455409,1,True,True,1481259999,1481689518,2037,429519
455413,247,True,False,1460009732,1461128885,2041,1119153
455665,18,False,False,1474603247,1477394314,2047,2791067
455684,5,False,False,1439593615,1454616229,2049,15022614
455707,1,True,True,1457360720,1457445669,2074,84949
455717,8,False,False,1453713240,1472144623,2087,18431383
455725,5,True,False,1458583182,1459451820,2088,868638
455732,3,True,False,1469414097,1470847055,2091,1432958
455736,3,True,True,1467606030,1467938185,2093,332155
455742,4,True,True,1459947859,1459979910,2098,32051
455747,15,True,True,1456273322,1456708345,2100,435023
455768,12,True,True,1474079183,1474079997,2107,814
455780,160,True,False,1457240149,1458587206,2108,1347057
455940,1,False,False,1438217829,1459490206,2109,21272377
455943,4,True,False,1451287244,1453066055,2112,1778811
455965,1,True,True,1475029644,1475061765,2132,32121
455971,1,True,True,1456883863,1456884872,2139,1009
455981,22,True,True,1452940638,1452964093,2152,23455
456013,3258,True,True,1463589789,1463593640,2164,3851
459271,711,True,True,1451749594,1451768205,2165,18611
459990,6,False,False,1457495952,1463127484,2176,5631532
459998,1,False,False,1446672993,1456261719,2179,9588726
460001,1407,True,True,1470489495,1470661119,2184,171624
461409,3,True,True,1450425491,1450425558,2186,67
461415,9,True,True,1452617991,1453146866,2190,528875
461425,1,True,True,1477526229,1477530411,2196,4182
461426,1,True,True,1477526229,1477530411,2197,4182
461427,1,True,True,1469342607,1469390017,2200,47410
461428,1,True,True,1469342607,1469390017,2201,47410
461431,3,False,False,1423508592,1456030734,2204,32522142
461434,3,False,False,1423508592,1456030734,2205,32522142
461465,32,False,False,1450834421,1459721367,2236,8886946
461507,1,True,True,1464042398,1464463344,2250,420946
461528,2,True,False,1460823824,1461563094,2274,739270
461530,2,True,False,1460823824,1461563094,2275,739270
461542,43,True,True,1455284665,1455301485,2287,16820
461587,1,True,True,1464323906,1464347415,2290,23509
461592,1,False,False,1445758034,1470349251,2295,24591217
461593,1,True,False,1480009991,1481717604,2296,1707613
461595,1909,True,True,1457210400,1457212559,2299,2159
463507,3,True,False,1455846315,1456631694,2303,785379
463517,5,True,False,1477866412,1480344399,2313,2477987
463533,1,True,False,1465638476,1466942014,2326,1303538
463540,1,True,False,1465501318,1468069652,2336,2568334
463553,1,True,True,1452813829,1452899636,2352,85807
463555,31,True,True,1473191874,1473225729,2354,33855
463590,3,False,False,1436517152,1460786753,2359,24269601
463594,1,True,True,1462908060,1462961730,2361,53670
463604,1639,True,True,1455911266,1455911408,2372,142
465243,1,True,True,1478586993,1478628340,2373,41347
465244,1,False,False,1436237230,1483231851,2374,46994621
465248,16,True,True,1454001794,1454357279,2379,355485
465264,5,False,False,1454438224,1466987458,2380,12549234
465269,6,False,False,1425564590,1477514015,2381,51949425
465275,6,False,False,1425564590,1477514015,2382,51949425
465284,313,True,True,1454218506,1454282529,2387,64023
465597,341,True,True,1482151242,1482155155,2388,3913
465942,2,False,False,1458663045,1468394422,2393,9731377
465945,2,True,True,1462293390,1462672897,2395,379507
465947,798,True,True,1462236663,1462554496,2396,317833
466745,3,True,True,1460678002,1460723205,2397,45203
466750,403,True,True,1466011484,1466014800,2400,3316
467156,7,False,False,1455566760,1459834816,2405,4268056
467163,7,False,False,1455566760,1459834816,2406,4268056
467186,17,True,True,1462249061,1462255792,2428,6731
467203,11,True,True,1482539706,1482620406,2429,80700
467219,13,True,False,1470647503,1471615021,2435,967518
467233,1,False,False,1452070864,1473009946,2437,20939082
467243,86,True,True,1459249345,1459356673,2449,107328
467342,4,True,True,1471241599,1471314483,2466,72884
467346,169,True,True,1456398162,1456425598,2467,27436
467527,1,True,False,1472547528,1474291447,2484,1743919
467533,4,True,False,1460859103,1462986610,2490,2127507
467542,2,True,False,1457313453,1458062628,2497,749175
467553,37,True,False,1474903964,1477415667,2507,2511703
467600,19,True,True,1468957847,1469205251,2518,247404
467619,34,True,True,1468010057,1468016951,2519,6894
467656,1,True,True,1456892922,1456893113,2524,191
467671,35,True,True,1451420079,1451833375,2542,413296
467707,333,True,True,1481090685,1481149378,2544,58693
468040,1,False,False,1470202209,1479849584,2545,9647375
468041,1,False,False,1426581864,1454414784,2547,27832920
468057,11,True,True,1466681742,1466712219,2566,30477
468068,2,True,True,1451450716,1451956068,2567,505352
468083,1,False,False,1440855406,1458311248,2584,17455842
468084,47,True,True,1454585546,1454602198,2585,16652
468134,36,True,True,1454550690,1454764988,2590,214298
468178,10,False,False,1463957558,1469031268,2599,5073710
468190,44,False,False,1452464852,1470661679,2603,18196827
468241,57,True,True,1476496568,1477092519,2612,595951
468298,10,True,False,1473366215,1474686583,2613,1320368
468308,70,True,True,1478896469,1479000489,2614,104020
468382,1,True,True,1460770949,1461293174,2619,522225
468392,2,True,True,1481463928,1481739541,2630,275613
468404,3,True,True,1472024543,1472607871,2645,583328
468408,3,False,False,1447384368,1456330611,2647,8946243
468422,1,True,False,1470686019,1471536453,2660,850434
468437,6,True,True,1450762478,1450797685,2676,35207
468445,27164,True,True,1459629971,1459654609,2680,24638
495612,102,True,True,1479715352,1480174958,2685,459606
495718,24,False,False,1470969433,1473906923,2692,2937490
495743,3,True,True,1466590613,1466591111,2694,498
495755,7,False,False,1443044876,1449365279,2704,6320403
495762,1,True,True,1470492440,1470508916,2705,16476
495767,3,False,False,1429122462,1456853014,2711,27730552
495770,1,False,False,1421098886,1473532652,2712,52433766
495776,2,True,True,1452785153,1452785850,2720,697
495781,6,True,True,1457810012,1458410942,2724,600930
495793,10,False,False,1464027569,1479407904,2731,15380335
495803,15,True,False,1466687752,1467937531,2732,1249779
495820,762,True,True,1460472388,1460473116,2736,728
496594,54,True,True,1463276606,1463285847,2749,9241
496654,3,True,True,1460473587,1460499326,2756,25739
496660,10,True,True,1449773863,1450224166,2760,450303
496670,1,True,True,1460648077,1460665086,2761,17009
496678,10,True,False,1452001361,1453913472,2770,1912111
496693,5,False,False,1470371569,1473646728,2778,3275159
496698,10,True,True,1467400358,1467693126,2779,292768
496711,1,True,True,1476128151,1476130134,2783,1983
496720,11,True,True,1452763349,1452764350,2795,1001
