,comment_id,treated,nltk_com_sen_pos,nltk_com_sen_neg,nltk_com_sen_neutral,nltk_sub_sen_pos,nltk_sub_sen_neg,nltk_sub_sen_neutral,nltk_title_sen_pos,nltk_title_sen_neg,nltk_title_sen_neutral,nltk_sim_sen,percent_adj,topic_model_0,topic_model_1,topic_model_2,topic_model_3,topic_model_4,topic_model_5,topic_model_6,topic_model_7,topic_model_8,topic_model_9,topic_model_10,topic_model_11,topic_model_12,topic_model_13,topic_model_14,Unnamed: 0_y,submmiter_commenter_tfidf_cos_sim,delta,comment_depth,commenter_number_submission,submitter_number_submission,number_of_comments_in_tree_from_submitter,number_of_respond_by_submitter_total,respond_to_comment_user_responses_ratio,submitter_seniority_days,is_first_comment_in_tree,commenter_number_comment,submitter_number_comment,number_of_comments_in_tree_by_comment_user,number_of_respond_by_submitter,respond_to_comment_user_all_ratio,respond_total_ratio,commenter_seniority_days,time_ratio,comment_len,submission_len,title_len,time_between_messages,time_until_first_comment,time_between_comment_first_comment
20,dsb1upl,0.0,0.106,0.051,0.843,0.126,0.179,0.695,0.0,0.156,0.8440000000000001,0.980910199709384,0.10256410256410256,0.0009132435079663992,0.0009132427512668072,0.02649710699915886,0.2806813418865204,0.017257368192076683,0.031731538474559784,0.3042105138301849,0.184236153960228,0.00091324356617406,0.0009132426930591463,0.1480800062417984,0.000913242984097451,0.0009132431005127727,0.0009132427512668072,0.0009132455452345313,20,0.16698751544,1,4,0,1,5,5,0.0,86,1,69,5,0,0,0.0,0.06493506493506493,441,0.14123056711188964,766,1077,56,1.16,645.0,3922.0
21,dq3ataq,0.0,0.113,0.061,0.826,0.055999999999999994,0.069,0.8759999999999999,0.0,0.0,1.0,0.9974007777475108,0.050788091068301226,0.29322299361228943,0.006079569458961487,0.045671306550502784,0.5809809565544128,0.0002544531598687172,0.0002544536255300045,0.033385604619979865,0.0110842352733016,0.000254453276284039,0.0002544531598687172,0.00025445365463383496,0.0002544533053878695,0.02753974124789238,0.0002544533053878695,0.0002544535673223436,21,0.335134284913,1,0,0,1,3,3,0.0,134,1,0,3,0,0,0.0,0.03225806451612903,133,0.2700650759219089,2826,5684,61,0.3,498.0,1346.0
22,dq3a7lv,0.0,0.155,0.07,0.775,0.055999999999999994,0.069,0.8759999999999999,0.0,0.0,1.0,0.9911077854851872,0.0636042402826855,0.00046948585077188914,0.00046948390081524854,0.14839795231819153,0.503993034362793,0.012062504887580872,0.08148716390132904,0.01684882678091526,0.12687283754348755,0.0004694844828918576,0.0004694838426075876,0.08047628402709961,0.00046948436647653585,0.0004694848612416536,0.010925387032330036,0.01611907780170441,22,0.144508244998,1,0,1,1,1,1,0.0,134,1,286,1,0,0,0.0,0.010752688172043013,280,0.4774688398849473,1536,5684,61,0.17,498.0,545.0
23,dq3b4dy,0.0,0.078,0.053,0.8690000000000001,0.055999999999999994,0.069,0.8759999999999999,0.0,0.0,1.0,0.9995139850798784,0.1,0.2330468147993088,0.0017543876310810447,0.1391720175743103,0.5366640686988831,0.0017543879803270102,0.0017543879803270102,0.07181883603334427,0.0017543872818350792,0.0017543910071253774,0.0017543879803270102,0.0017543904250487685,0.0017543870490044355,0.0017543878639116885,0.0017543890280649064,0.0017543872818350792,23,0.132479308925,1,4,2,1,4,4,0.0,134,0,738,4,1,0,0.0,0.04301075268817205,1728,0.2209405501330967,463,5684,61,0.37,498.0,1756.0
24,dlnmtn6,0.0,0.10400000000000001,0.033,0.863,0.06,0.121,0.8190000000000001,0.0,0.0,1.0,0.9930535758674048,0.06329113924050632,0.002150541404262185,0.0021505386102944613,0.28511691093444824,0.002150541869923473,0.002150544198229909,0.0021505455952137713,0.0021505383774638176,0.0021505404729396105,0.0021505409386008982,0.0021505444310605526,0.6219669580459595,0.06710965931415558,0.002150555141270161,0.0021505432669073343,0.0021505397744476795,24,0.132859990747,1,0,1,1,0,0,0.0,230,1,685,0,0,0,0.0,0.0,599,0.6817757009345794,360,1766,97,0.35,1459.0,681.0
25,dlnmnxn,0.0,0.081,0.133,0.7859999999999999,0.06,0.121,0.8190000000000001,0.0,0.0,1.0,0.9993643922550429,0.0625,0.0003766481240745634,0.000376648415112868,0.10214512795209883,0.2926308810710907,0.0003766481240745634,0.014851505868136885,0.04859131202101708,0.0003766478912439197,0.0003766488225664944,0.000376648415112868,0.3902307748794556,0.05131668969988823,0.0003766482404898852,0.09722054749727248,0.00037664832780137664,25,0.148417586165,1,0,6,1,0,0,0.0,230,1,220,0,0,0,0.0,0.0,1242,0.7413617886178862,2197,1766,97,0.32,1459.0,509.0
26,dj7yecc,0.0,0.146,0.05,0.804,0.139,0.084,0.777,0.11,0.0,0.89,0.9989884381717272,0.1366120218579235,0.0007092207088135183,0.0007092207088135183,0.017347427085042,0.2643773853778839,0.0007092203595675527,0.2836307883262634,0.03730941191315651,0.0007092222222127019,0.07446456700563431,0.0007092201849445701,0.022932706400752068,0.0007092203595675527,0.2501721382141113,0.04480107873678208,0.0007092277519404888,26,0.105977844151,1,0,0,1,0,0,0.0,285,1,26,0,0,0,0.0,0.0,613,0.06633625619519634,967,2234,107,1.27,348.0,4898.0
27,dj7uocm,0.0,0.046,0.096,0.858,0.139,0.084,0.777,0.11,0.0,0.89,0.9924644041527524,0.032520325203252036,0.0012121223844587805,0.0012121214531362055,0.06567882001399994,0.13950052857398987,0.0012121222680434587,0.2263476401567459,0.001212122617289424,0.0012121244799345732,0.033609241247177124,0.14905759692192078,0.0012121248291805387,0.0012121220352128148,0.205953910946846,0.14595071971416473,0.025416688993573192,27,0.163087331783,1,0,1,1,0,0,0.0,285,1,0,0,0,0,0.0,0.0,285,0.29896907216494845,606,2234,107,0.19,348.0,816.0
28,cesb8l8,1.0,0.092,0.025,0.883,0.13,0.094,0.7759999999999999,0.0,0.0,1.0,0.9939673256888072,0.0905982905982906,0.005034334026277065,0.00023894895275589081,0.00023894895275589081,0.12909039855003354,0.00023894943296909327,0.1656339317560196,0.0002389490691712126,0.10730048269033432,0.2653515636920929,0.00023894936020951718,0.21064095199108124,0.03563927859067917,0.07963640987873077,0.00023894895275589081,0.00023894898185972124,28,0.0884518091038,1,0,0,2,0,0,0.0,1579,1,0,17,0,0,0.0,0.0,1536,1.0,2945,2167,138,0.3,1854.0,0.0
29,d0zb17w,1.0,0.141,0.08800000000000001,0.7709999999999999,0.08800000000000001,0.07200000000000001,0.84,0.0,0.0,1.0,0.9967459512552752,0.12596401028277635,0.00016666686860844493,0.015686549246311188,0.057604126632213586,0.2709968388080597,0.00016666688316036016,0.11184756457805634,0.015656854957342148,0.003661758732050657,0.4304470419883728,0.00016666714509483427,0.00016666713054291904,0.00016666702867951244,0.02148738503456116,0.06478269398212433,0.006995819043368101,29,0.545466873723,1,0,0,1,4,4,0.0,750,1,2,4,0,0,0.0,0.08888888888888889,998,0.015376093517209763,4262,2126,97,14.32,805.0,51549.0
30,cbk78ih,0.0,0.114,0.156,0.73,0.083,0.139,0.778,0.0,0.0,1.0,0.998340670582274,0.06896551724137931,0.00029895477928221226,0.00029895739862695336,0.00029895466286689043,0.021418007090687752,0.0002989540807902813,0.00029895451734773815,0.28725719451904297,0.00029895405168645084,0.00029895405168645084,0.0002989541389979422,0.5232064723968506,0.0002989541389979422,0.15867596864700315,0.0064528360962867745,0.00029895384795963764,30,0.11382506724000001,1,0,0,1,3,3,0.0,1698,1,11,3,0,0,0.0,0.05882352941176471,1798,0.07996357012750456,2689,1357,74,1.31,439.0,5051.0
31,cbk6uz7,0.0,0.126,0.19399999999999998,0.68,0.083,0.139,0.778,0.0,0.0,1.0,0.9924300037632294,0.09722222222222222,0.01192960049957037,0.023381035774946213,0.01044159010052681,0.0005208345828577876,0.02322510816156864,0.0005208338261581957,0.1859079003334045,0.0005208339425735176,0.0005208337097428738,0.010247306898236276,0.6610314846038818,0.0005208341171965003,0.06085532531142235,0.0005208335351198912,0.00985562801361084,31,0.141154968766,1,0,0,1,3,3,0.0,1698,1,40,3,0,0,0.0,0.05882352941176471,1761,0.11273754494093476,1469,1357,74,1.04,439.0,3455.0
